Organization_Name,Estimated_Revenue_Range,Total_Funding_Amount,Headquarters_Location,Description,Founded_Date,Number_of_Founders,Funding_Status,Funding_Stage,Number_Funding_Rounds,Number_of_Investors,Industries,Industry_Groups,Sector_Size,Number_of_Employees,Downloads_Last_30_Days,Number_of_Apps,Visit_Duration,Bounce_Rate,Monthly_Visits,Monthly_Visits_Growth,Exit_status
Dhad,,480000,Riyadh ,Dhad is an audio publishing house that produces and publishes books.,2015,1,,Series B,2,5,Publishing,Media&Entertainment,49500000000,31,,,0,100%,3098,,servival
Mosero,,20000,Jeddah ,Mosero provides Artificial Intelligence (A.I) solutions to identify rare diseases through a predictive algorithms.,2017,,Seed,Pre-Seed,1,1,"Artificial Intelligence, Health Care",Artificial Intelligence,13000000000,6,,,,,,,servival
Unlockd.me,,,Riyad,A leading judgement free platform that allows models and influencers to monetise their fanbase by converting them to paid followers.,2020,,,Seed,,,"Film, Internet, Marketing, Social Media, Software, Twitter, Video, Video Editing, Video on Demand",Media&Entertainment,49500000000,6,,,,,,,servival
Sabq News,30000000,,Riyadh ,"Sabq News is an electronic newspaper in Arabic language that publishes news, information, and opinions on economy, technology, and more.",2007,1,,Series C,,,"News, Publishing",Media&Entertainment,49500000000,6,"14,349",1,286,43%,15462463,-26%,servival
BALLURH,,10000,Jeddah,BALLURH is the magical solution for increasing food loversâ€™ satisfaction.,2020,2,Seed,Pre-Seed,1,1,Information Technology,Artificial Intelligence,13000000000,6,,,,,,,servival
YouPositive,,60000,Jeddah ,YouPositive is a coaching service that creates a marketplace for coaches to connect with people to help develop a healthy way of leaving.,2017,1,Seed,Pre-Seed,1,1,Training,EduTech,4760000000,6,,,,,,,servival
palm.hr,,,Riyadh ,"SaaS, HR Software",2018,3,Seed,Seed,1,2,"Apps, Human Resources, Information Technology, SaaS, Software",IT,13000000000,31,,,708,56%,1832,61%,servival
Hachid,,200000,Hail,Hachid (founded in 2013) is a young high-tech spinoff of King Abdullah University of Science and Technology (KAUST).,2013,4,Seed,Seed,1,1,"Data Mining, Information Technology",Data Analysis,13000000000,31,,,,,,,servival
Intelmatix,,,Riyadh ,Intelmatix is a deep-tech AI company with capabilities that address sector challenges by providing tailored solutions and unique products.,2021,3,Seed,Seed,1,2,"Artificial Intelligence, Software",Artificial Intelligence,13000000000,31,,,204,0%,175,-76%,servival
Abwab,,,Jeddah ,Abwab is a platform for real estate professionals and property seekers to exchange information and promote their business.,2013,,,Series C,,,"Digital Marketing, Real Estate, Trading Platform",Sales&Marketing,13000000000,6,,,0,100%,235,-63%,servival
TeeArabia,,50000,Riyadh ,TeeArabia is an online customizable items store that helps individuals and companies bring their ideas into apparel.,2011,1,Seed,Pre-Seed,1,,"E-Commerce, Fashion",E-Commerce,13000000000,6,,,,,,,servival
Al Borg Medical Laboratories,5500000,,Jeddah ,Al Borg Medical Laboratories provide a wide range of clinical and diagnostic tests for its clients.,1998,1,,Undisclosed,1,1,"Biotechnology, Medical",HealthTech,5400000000,751,"2,639",10,651,59%,32026,19%,servival
EjarTech,,50000,Jeddah ,EjarTech is a platform that links all car rental companies under one platform using smart & friendly solutions that help both sides.,2017,,Seed,Seed,1,,Travel,Travel&Tourism ,18000000000,6,,,,,,,servival
Watsup Systems,,200000,Jeddah ,Watsup Systems is a manufacturer of real-time monitoring of surface fouling in filtration units and cooling systems.,2014,2,Seed,Seed,1,1,"Manufacturing, Water Purification",Energy,49500000000,6,,,,,,,servival
SunBox,,20000,Riyadh ,SunBox operates as a multinational corporation that provides clean energy services.,2017,,,Series C,1,2,"Clean Energy, Energy, Energy Efficiency",Energy,49500000000,6,,,35,50%,1058,,servival
BayanPay,5500000,,Riyadh ,BayanPay is a digital payment service provider company.,2018,1,,Series A,,,"Financial Services, Mobile Payments, Payments",Financial Services,13000000000,31,,,0,100%,190,2614%,servival
Intravides,,40000,Hail,Intravides is a biomedical startup.,2013,1,Seed,Pre-Seed,2,1,"Biotechnology, Image Recognition",HealthTech,5400000000,6,,,,,,,servival
almatar,,,Riyadh ,"Booking hotels, Booking flights, Airline tickets, Hotel booking",2017,1,,Series A,,,"Lifestyle, Tourism, Travel",Travel&Tourism ,18000000000,376,,,362,52%,105447,-47%,servival
Simplified Financial Solutions Company,,,Riyadh ,Simplified Financial Solutions Company offers startups and SMEs financial management solutions.,2021,,Seed,Pre-Seed,1,2,"Financial Services, FinTech",Financial Services,13000000000,6,,,0,100%,235,,servival
Jisr HR,,,Riyadh ,"JisrHR is a Human resource management firm that offers HR solutions, time and attendance, reports, benefits and payroll services.",2016,,,Series B,,,"Employee Benefits, Human Resources",Recruitment ,49500000000,176,,,485,58%,13091,78%,servival
Wee,,,Riyadh ,Wee is an electric scooter sharing platform in Saudi Arabia.,2019,1,Seed,Seed,1,1,Electric Vehicle,Travel&Tourism ,18000000000,31,,,,,,,servival
Platinum Home Warranty,5500000,,Jeddah,Platinum delivers outstanding service to homeowners in the most trusted home warranty experience imaginable.,2017,,M&A,Series B,,,Real Estate,Real Estate,2500000000,31,,,882,0%,3213,,exited
Nuzol,,50000,Ash Sharqiyah,A platform where property owners share their places with travelers who looking for unique stay experience in MENA.,2016,1,Seed,Pre-Seed,2,2,"Sharing Economy, Travel Accommodations",Logistics ,13000000000,6,,,,,,,servival
Wafeer,,,Riyadh ,Wafeer is a fintech personal finance management app that provides financial solutions.,2019,4,Seed,Pre-Seed,1,3,"Apps, Financial Services, FinTech, Predictive Analytics",Financial Services,13000000000,31,,,1,94%,448,78%,servival
AlGooru,,,Riyadh ,AlGooru is a mobile app that connects student with on-demand qualified tutors.,2018,1,Seed,Pre-Seed,1,2,"Communities, EdTech, Education",EduTech,4760000000,31,,,,,,,servival
Oaises,,45000,Hail,Oaises creates laser-based energy efficient lighting systems.,2017,3,Seed,Pre-Seed,1,1,Electronics,IT,13000000000,6,,,,,,,servival
Asra,,120000,Riyadh ,Asra is an application that provides delivery services for large campuses and closed compunds via electrical cars.,2014,,Seed,Seed,1,1,"Delivery Service, Logistics",Travel&Tourism ,18000000000,6,,,,,,,servival
SMACC,,,Riyadh ,SMACC is an online accounting software for Small and Medium Enterprises to manage their businesses & boost productivity.,1990,2,Early Stage Venture,Series A,1,1,"Accounting, Cloud Computing, Enterprise Resource Planning (ERP), Point of Sale, Software",Financial Services,13000000000,376,190,12,1445,18%,267822,-28%,servival
e-Procure,,,Riyadh ,SaaS Enabled B2B Marketplace that empower companies to automate Procurement and B2B sales operations through a secure blockchain network,2020,1,,Seed,,,"B2B, Blockchain, E-Commerce, Enterprise Software, Industrial Automation, Marketplace, Procurement, SaaS, Sales, Software",Sales&Marketing,13000000000,31,,,0,100%,1263,,servival
Scopeer,,,Riyadh ,Crowdfunding,2017,2,Seed,Pre-Seed,1,,Crowdfunding,Financial Services,13000000000,31,,,568,25%,14542,82%,servival
Honest,,60000,Riyadh ,Honest is food deliver platform which supplies Organic food and Beverage products.,2017,,Seed,Pre-Seed,1,2,Food and Beverage,Food&Beverage ,42000000000,6,,,,,,,servival
Jazeera Pharmaceuticals Industries,,,Riyadh ,"Jazeera Pharmaceuticals Industries is engages in the research, development, manufacture, and marketing of pharmaceutical products.",1999,,M&A,Sereis C,,,"Biotechnology, Manufacturing, Pharmaceutical",HealthTech,5400000000,376,,,,,,,exited
ZenHR,,,Riyadh ,ZenHR is a cloud-based Human Resources Management System (HRMS) designed to serve everyone from SME to Enterprise customers in MENA market,2017,2,,Series B,,,"Human Resources, Information Technology, Software",Human Resources,49500000000,76,,,410,18%,51513,102%,servival
Technology Control Corporation,,,Riyadh ,Technology Control Company LTD (TCC) is an information technology company established in 2008.,2008,,,Series C,,,"Consulting, CRM, Information Technology, Legal, Predictive Analytics, Software",Artificial Intelligence,13000000000,751,,,38,54%,2607,111%,servival
Daleeli,,20000,Riyadh ,Daleeli is an app that provides relevant tourist information.,2010,2,Seed,Seed,1,1,"Apps, Industrial, Internet, Tourism",Travel&Tourism ,18000000000,76,,1,,,,,servival
OceanX,,,Riyadh ,OceanX is a business consulting firm that seeks to elevate the business sector in Saudi Arabia.,2012,1,,Series C,,,"Advice, Business Development, Consulting, Management Consulting, Social Entrepreneurship",Consultancy  ,13000000000,31,,,4,98%,1674,-55%,servival
THIQAH,30000000,,Riyadh ,"THIQAH is an IT company which provides E-Services, Professional Services, and Data Services to the government and the private sector.",2012,,,Series C,,,"Information Technology, Predictive Analytics",Artificial Intelligence,13000000000,751,"11,950",8,606,35%,8123,76%,servival
SAUDI PAYMENTS,,,Riyadh ,Saudi Payments Network or mada is the only and major payment system in the kingdom of Saudi Arabia.,2018,,,Series C,,,"Data Center Automation, Finance, Financial Services",Financial Services,13000000000,751,,,1790,54%,2888,-36%,servival
General Organization for Social Insurance,,,Riyadh ,General Organization for Social Insurance is a Saudi Arabian government agency.,2017,,,Series C,,,"Government, Insurance, Social",Insurtech,13000000000,751,"61,521",2,588,21%,2318736,4%,servival
Hazen.ai,,,Jeddah,Hazen.ai is a Saudi startup focusing on artificial intelligence based traffic analytics and monitoring solutions,2017,,Seed,Seed,2,1,"Artificial Intelligence, CRM, Information Technology, Internet, Machine Learning",Artificial Intelligence,13000000000,6,,1,798,0%,396,,servival
Rotana.net,75000000,,Riyadh ,"Rotana.net develops a range of landmark media offerings across broadcast, film, music, digital, and media services.",2017,,,Series C,1,1,"Advertising, Broadcasting, Digital Entertainment, Music, News",Media&Entertainment,49500000000,751,,,311,64%,142443,-3%,servival
Sanar â€“ Ø³Ù†Ø§Ø±,,,Riyadh ,"Sanar provides a digital health platform for online medical consultations, and home healthcare services.",2019,1,Seed,Seed,1,1,"Health Care, Home Health Care, Medical, Wellness",HealthTech,5400000000,31,,,621,65%,8005,16932%,servival
Flyin.com,,,Riyadh ,Flyin.com is an online travel agency in the Middle east that offers an integrated travel services for the travellers in the MENA,2008,1,M&A,Series C,,,"Travel, Travel Agency",Travel&Tourism ,18000000000,376,"9,722",1,479,56%,557993,-20%,exited
AIMS Holding,,,Jeddah ,AIMS Holding is a holding company that manages a diversified portfolio of investments.,1990,1,,Series C,,,"Business Development, Financial Services, Industrial, Real Estate",Financial Services,13000000000,76,,,24,64%,1151,-80%,servival
Tam Development LLC.,1000000,,Jeddah ,Public engagement expert.,2011,1,,Series C,,,"Association, Communities, Government, Non Profit",Media&Entertainment,49500000000,76,,,182,9%,610,6%,servival
Mechanice24,,50000,Jeddah ,Mechanice24 provides a convenient and portable car mechanic service which can send a team of mechanics to customers wherever they are.,2017,,Seed,Seed,1,1,"Transportation, Travel",Travel&Tourism ,18000000000,6,,,,,,,servival
HalaYalla Super App,,,Riyadh ,Digital Disruption of Sports & Entertainment,2012,1,,Series A,,,,E-Commerce,13000000000,176,"28,958",28,796,56%,109497,3795%,servival
Zaffran,,15000,Riyadh ,Zaffran offers coffee and saffron from different countries with high standards and good prices.,2016,,Seed,Pre-Seed,1,1,"Coffee, Food and Beverage",Food&Beverage ,42000000000,6,,,,,,,servival
Arabsat,300000000,,Riyadh ,"Arabsat is a satellite operators and provider, servicing clients globally.",1996,,,Series C,,,Service Industry,Consumer Services,42000000000,76,2,2,622,50%,5354,58%,servival
Ego,,,Riyadh ,Ego is making ride requesting experience a whole new adventure. Creating a community of drivers and passengers who connect through an app.,2018,,,Series A,,,"Information Technology, Internet, Predictive Analytics, Software",Artificial Intelligence,13000000000,31,,,,,,,servival
United Mining Industries,5500000,,Jeddah,United Mining Industries is a building material company offering gypsum boards and gypsum powder.,2007,,,Series C,,,"Building Material, Manufacturing, Mining, Real Estate",Real Estate,2500000000,376,,,0,100%,89,197%,servival
The National Energy Services Company (Nesco) - Tarshid,,,Riyadh ,"Energy, Retrofit, Super Esco, Escos, Esco",2017,,,Series B,,,"Clean Energy, Energy, Energy Efficiency, Renewable Energy",Energy,49500000000,76,,,869,0%,417,-84%,servival
Bonyya International Ø´Ø±ÙƒØ© Ø¨Ù†ÙŠØ© Ø§Ù„Ø¹Ø§Ù„Ù…ÙŠØ©,,,Ash Sharqiyah ,Bonyya International provides logistics and supply chain services.,2021,1,,Seed,,,"Delivery, Delivery Service, E-Commerce Platforms, Last Mile Transportation, Logistics, Same Day Delivery, Warehousing",E-Commerce,13000000000,6,,,,,,,servival
Mawidy,,,Riyadh ,Mawidy is an healthtech firm that provides an application for booking medical appointments.,2020,,Seed,Seed,1,,"Apps, Artificial Intelligence, Health Care",Healthtech,5400000000,6,,,0,100%,128,,servival
Arab News,30000000,,Jeddah ,Arab News is Saudi Arabia's first English-language newspaper.,1995,2,,Series C,,,News,Media&Entertainment,49500000000,76,,,414,76%,3818639,-25%,servival
Desert Technologies,,,Jeddah ,"Desert Technologies provides Renewable Energy solutions to commercial, and government clients.",2012,2,,Series C,,,"Renewable Energy, Solar",Energy,49500000000,31,,,0,100%,252,,servival
Intigral,5500000,,Riyadh ,Intigral is a leading provider of IP video products and billing services in the MENA region. ,2009,,,Series C,,,"Image Recognition, Information Technology, Messaging, Software, Telecommunications, Video",Data Analysis,13000000000,376,,3,260,88%,861,-16%,servival
Bonat,,,Riyadh ,Bonat is a customer engagement solution that provides advanced tools to help in managing businesses.,2019,1,Seed,Seed,1,2,"Loyalty Programs, Text Analytics",Data Analysis,13000000000,31,,,,,,,servival
Al-Jouf Agriculture Development Co.,75000000,,Jeddah ,"Al-Jouf Agricultural production, aimed at producing natural, healthy and high-quality products which meet the needs of the consumer.",1990,,IPO,Series C,,,"Agriculture, Farming, Organic",Consumer Services,42000000000,376,,,,,,,exited
Fakieh Group,5500000,,Jeddah ,"Fakieh Group is a business organization that offers poultry farm products, tourism solutions and healthy fast food services.",1990,,,Series C,,,"Food and Beverage, Restaurants, Tourism",Travel&Tourism ,18000000000,6,,,,,,,servival
Boonus,,,Jeddah ,"With Boonus, businesses and communities always get more from each other",2020,2,M&A,Seed,,,"CRM, Loyalty Programs, Marketing Automation, Retail",Sales&Marketing,13000000000,7,,,0,100%,144,-8%,exited
DMR Analytics,,2000,Ash Sharqiyah,Software,2018,1,Seed,Pre-Seed,1,1,"Predictive Analytics, Software",Artificial Intelligence,13000000000,6,,,,,,,servival
Leap App,,,Riyadh ,Leap is the first Pickup Marketplace in Saudi Arabia that allows users to pre-order their food and/or drinks.,2019,3,Seed,Seed,1,,Predictive Analytics,Artificial Intelligence,13000000000,6,,,,,,,servival
Mala'a Technologies,,,Riyadh ,Mala'a Technologies is a finance management app that helps manage finances and provides recommendations on finances.,2017,,,Seed,,,"Financial Services, FinTech, Mobile Apps, Predictive Analytics",Financial Services,13000000000,6,,,6,94%,1601,-22%,servival
SolexPLUS,300000000,,Jeddah ,"SolexPLUS is a BPO firm that provides customer care, retention, consultancy, advisory, technical support and automated interaction services.",2009,,,Series A,,,"Business Intelligence, Consulting, Technical Support, Training",Business Intelligence,13000000000,751,,,26,50%,6998,1574%,servival
Sahara Net,,,Sharqiyah,"Sahara Net is an Information and Communications Technology company providing connectivity, cloud & cyber security solutions.",1989,2,M&A,Series C,,,"Cloud Infrastructure, Cloud Management, Cloud Storage, Cyber Security, Information and Communications Technology (ICT), Internet, Predictive Analytics, Private Cloud, Telecommunications, Web Hosting",Artificial Intelligence,13000000000,376,,1,685,32%,89721,-12%,exited
Saudi Arabian Cooperative Insurance Co.,300000000,,Riyadh ,Saudi Arabian Cooperative Insurance Co. is a joint-stock company that offers insurance and investment services.,2006,,IPO,Series C,,,"Insurance, Medical",Insurtech,13000000000,376,,,152,40%,9988,69%,exited
Arabia For Information Technology,1000000,,Riyadh ,Arabia for Information Technology is a mobile application developing company which has created applications that are compatible with,2002,,,Series C,,,Search Engine,IT,13000000000,31,"139,518",46,39,82%,1225,,servival
Moyasar,5500000,,Riyadh ,Moyasar is an online payment gateway that provides electronic payment solutions.,2015,,,Series B,,,"Financial Services, Information Technology, Payments",Financial Services,13000000000,31,,,838,67%,141906,15%,servival
Saudi Ceramics,,,Riyadh ,"Saudi Ceramics is a manufacturer of ceramic tiles, sanitary ware and electric water heaters.",2017,,IPO,Series B,,,"Building Material, Electronics, Manufacturing",Consumer Services,42000000000,6,,,278,33%,41938,22%,exited
SASREF,300000000,,Riyadh ,"Saudi Aramco Shell Refinery Company SASREF is at the very heart of Saudi Arabiaâ€™s petrochemical industry, Jubail Industrial City.",2014,,,Series B,,,Communities,Financial Services,13000000000,76,,,207,43%,17272,14%,servival
Benaa,1000000,60000,Riyadh ,Benaa is a application used to regulate the random market in the field of contracting and engineering consultancy.,2019,,Seed,Pre-Seed,1,1,Professional Services,Consumer Services,42000000000,6,,,,,,,servival
CURA Company,1000000,,Riyadh ,CURA builds & invests in technology startups. Built Balleh.com & invested in Sakrobe.,2006,,,Series C,,,"E-Commerce, FinTech, Internet, Predictive Analytics, Sharing Economy, Venture Capital",Human Resources,49500000000,176,,,,,,,servival
XCUTE,,,Jeddah ,"XCUTE is a MENA based freelancing platform that matches the top talent in marketing, design and content creation to startups and SMEs.",2002,1,Seed,Seed,1,1,,HealthTech,5400000000,31,,,0,100%,172,,servival
Mihnati.com,5500000,,Riyadh ,Mihnati is a mobile application that helps users find career opportunities in their area.,2007,,,Series B,,,"Career Planning, Employment",Financial Services,13000000000,376,302,11,295,60%,28474,-37%,servival
ATK Services & Marketing,30000000,,Jeddah ,"Developed products in healthcare IT solutions. Health B2B Cloud, Health HIS, Cloud HRMS.",1994,1,,Series C,,,"Health Care, Intelligent Systems, Personal Health, SaaS, Software",Food&Beverage ,42000000000,376,,,304,67%,592,,servival
Saudi Stock Exchange (TADAWUL),,,Riyadh ,Saudi Stock Exchange (TADAWUL) is a joint stock company.,2020,,,Seed,,,"Financial Services, Stock Exchanges",Financial Services,13000000000,176,"5,444",5,1521,57%,234410,-12%,servival
Abbar Foods,5500000,,Riyadh ,Abbar Foods specializes in distribution and supply of international food products and consumer goods of various brands.,2017,,,Seed,,,"Delivery, Food and Beverage, Retail, Supply Chain Management",E-Commerce,13000000000,31,,,,,,,servival
Neoleap,,,Ash Sharqiyah,"Neoleap is a fintech company that offers online payments, digital wallets, point of sale, e-commerce, and payment gateway services.",2006,,,Series C,,,"Financial Services, FinTech, Mobile Payments, Payments",Artificial Intelligence,13000000000,176,,,73,61%,2553,25%,servival
Johrh,,,Riyadh ,"Johrh is a online abaya store in the GCC, selling a range of quality designs at affordable prices.",2009,,,Series C,2,1,"E-Commerce, Fashion, Mobile Apps",E-Commerce,13000000000,6,,,726,64%,50874,-61%,servival
Virtual Vision,1000000,,Riyadh ,"Virtual Vision brings the worldâ€™s latest technologies, services, products and solutions to the untapped markets of the Middle East.",2020,,Early Stage Venture,Series A,1,1,"Computer, Information Technology, Intelligent Systems, Software",Sales&Marketing,13000000000,6,,,,,,,servival
Ø§Ù„Ù…Ø¹Ù‡Ø¯ Ø§Ù„Ø¹Ø±Ø¨ÙŠ ØªØ¹Ù„Ù… Ø§Ù„Ù‡ÙƒØ±,,,Tabuk,ÙŠÙ‚Ø¯Ù… Ø§Ù„Ù…Ø¹Ù‡Ø¯ Ø§Ù„Ø¹Ø±Ø¨ÙŠ Ø§Ù‚ÙˆÙ‰ Ø¯ÙˆØ±Ø§Øª ØªØ¹Ù„Ù… Ø§Ù„Ù‡ÙƒØ± Ø¨Ù…Ø¯Ø© Ø£Ø³Ø¨ÙˆØ¹ ÙƒÙ† Ù‡ÙƒØ± Ù…Ø­ØªØ±Ù,2012,,,Series B,,,,Consumer Services,42000000000,6,,,0,100%,482,3343%,servival
QVM Software,,,Ash Sharqiyah ,QVM is a B2B SaaS Enabled Marketplace (SEM) solution.,2019,3,Seed,Seed,1,1,"Analytics, Automotive, Big Data, Business Intelligence, Data Mining, Market Research, Marketplace, SaaS, SEM, Wholesale",Artificial Intelligence,13000000000,376,,,,,,,servival
Advanced Petrochemical Co.,750000000,,Riyadh ,Advanced Petrochemical Co. is a chemical company specializing in the production of propylene through PDH-Catifin Technology.,2008,,IPO,Series C,,,"Chemical, Manufacturing",HealthTech,5400000000,376,,,135,28%,5070,285%,exited
APSense,30000000,,Jeddah ,APSense is a business social network where people come together to share their businesses.,2016,,,Seed,,,Business Development,Artificial Intelligence,13000000000,31,,,712,50%,134121,71%,servival
Saudi PenTesting Company,,,Ash Sharqiyah,"Saudi PenTesting Company provide services related to Cybersecurity, Artificial Intelligence, Machine Learning, and Intelligent Systems.",1993,1,,Series C,,,"Artificial Intelligence, Business Intelligence, Computer Vision, Cyber Security, Facial Recognition, Image Recognition, Intelligent Systems, Machine Learning, Penetration Testing, Project Management",Financial Services,13000000000,76,,,,,,,exited
DHS Arabia,75000000,,Riyadh ,DHS is a provider of information technology for the health field.,2016,,,Series B,,,"Computer, Health Care, Information Technology, Software",E-Commerce,13000000000,76,,,,,,,servival
Averos,5500000,,Riyadh ,"Averos is an innovative technology company specialising in Indoor Positioning, Navigation and Tracking Systems",2018,3,,Series A,2,1,"Indoor Positioning, Internet of Things, Location Based Services, Predictive Analytics, Software",Financial Services,13000000000,6,,,41,0%,21,,servival
Al Sagr Cooperative Insurance Co.,,,Riyadh ,Al Sagr Cooperative Insurance Co. is a public cooperative insurance company.,2019,,IPO,Seed,,,"Financial Services, Insurance",Data Analysis,13000000000,6,,,222,47%,19024,36%,exited
Taktheer Trading Company,,,Riyadh ,Taktheer Trading Company is committed to bring the best of branded fashion to the people of Middle-East through its portal eOutlet.,2010,1,,Series B,,,"E-Commerce, Fashion",E-Commerce,13000000000,176,,,,,,,servival
Tammwel,,,Riyadh ,Tammwel is a digital financing broker the helps clients find financial offers.,2017,,Seed,Seed,1,1,"Finance, Financial Services",Sales&Marketing,13000000000,6,,,,,,,servival
Cybersenshi,,,Jeddah ,A cybersecurity SaaS platorm to automate & discover cybersecurity weaknesses in web apps & networks & to automate penetration testing,2017,1,Seed,Seed,1,1,"Cloud Security, Cyber Security, Image Recognition, Network Security, SaaS, Security",Artificial Intelligence,13000000000,6,,,95,0%,506,,servival
Karaz Linen,,,Riyadh ,"Karaz Linen offers bedding, home products and a wide range of home accessories.",2017,,,Series B,,,"E-Commerce, Retail, Shopping",Healthtech,5400000000,376,,,829,49%,29505,-66%,servival
Shiftah,,,Riyadh ,An innovative crowdsourcing solution for outdoor advertisements through connecting advertisers with  car owners to wrap their cars with ads,2013,3,Seed,Seed,1,2,"Advertising, Advertising Platforms, Crowdsourcing, Mobile Apps, Outdoor Advertising",Telecommunication,13000000000,176,,,,,,,servival
Machine Learning KSA,,,Riyadh ,Machine Learning KSA is an AI company located in Saudi Arabia. Let our high-quality talent augment your team to deliver robust solutions!,2001,1,,Series B,,,"Artificial Intelligence, Autonomous Vehicles, Facial Recognition, Image Recognition, Machine Learning, Natural Language Processing, Predictive Analytics, Speech Recognition, Text Analytics",Real Estate,2500000000,376,,,,,,,exited
Lean Business Services,5500000,,Riyadh ,E-health digital solutions,2021,,,Seed,,,"Data Center Automation, Data Mining, Database, Facial Recognition, Health Care, Image Recognition, Information Services, Information Technology, Speech Recognition, Text Analytics",Financial Services ,13000000000,6,,,638,17%,115641,12%,servival
Pharma Pharmaceutical Industries,,,Riyadh ,Pharma Group is a group of pharmaceutical companies specialized in providing services to local and global clients.,2017,1,,Seed,,,"Pharmaceutical, Product Design, Telecommunications",Artificial Intelligence,13000000000,31,,,3,84%,2034,50%,servival
Arabian Centres,750000000,,Riyadh ,"Arabian Centres is the owner, operator and developer of contemporary lifestyle centres in Saudi Arabia.",1994,,IPO,Series C,,,"Property Development, Property Management, Real Estate",Artificial Intelligence,13000000000,751,,,258,63%,51452,-20%,exited
Samarra,,,Riyadh ,"Samarra, the application for all things money.",2016,1,,Series A,,,"Banking, Financial Services, FinTech, Mobile Payments, Payments, Predictive Analytics",Artificial Intelligence,13000000000,176,,,,,,,servival
MobiMind,,,Riyadh ,"MobiMind is a mobile value-added service, content and unified solutions company.",2019,,,Seed,,,"Information Technology, Mobile, Mobile Apps, Software",Artificial Intelligence,13000000000,31,140,14,,,,,servival
Arabic Computer Systems,,,Riyadh ,Arabic Computer Systems is an information technology company.,2008,,,Series B,,,"Information Technology, Intelligent Systems, Software",HealthTech,5400000000,376,,,77,34%,2164,-36%,servival
Wssel,,,Riyadh ,"Wssel offers a unique experience through the availability of many & varied stores of restaurants, sweets, drinks, bakeries & supermarkets.",1999,,,Series C,,,"Food Delivery, Information Technology, Predictive Analytics",Sales&Marketing,13000000000,176,,,186,43%,16293,943%,servival
RasMal,,,Ash Sharqiyah,"Simple and powerful tools for captable management, equity plans, investment rounds and more.",2018,1,Seed,Seed,1,,"Predictive Analytics, Software",Artificial Intelligence,13000000000,76,,,,,,,servival
Nupco,5500000,,Riyadh ,"Nupco specializes in unified procurement, business solutions, warehousing and logistics services to the health care sectors.",2017,,,Series A,,,"Health Care, Logistics, Warehousing",Artificial Intelligence,13000000000,31,,,1057,73%,44440,-27%,servival
Marcom Arabia,,,Ash Sharqiyah ,Marcom Arabia is a marketing comprehensive company.,1993,,,Series C,,,"Advertising, Marketing",Transportation,18000000000,176,,,0,100%,209,-44%,exited
Linea Digitech,,,Riyadh ,"App Development, AI/ML Development, AR/VR Development, Cloud Solutions, Software Development, Digital Marketing Company",2020,,,Seed,,,"Artificial Intelligence, Software",E-Commerce,13000000000,6,,,,,,,servival
FASTCOO,,,Jeddah ,FASTCOO is a Software as a Service (SaaS) platform offering the full technology needed to run your logistic business upon your requirements.,2001,4,,Series B,,,"Intelligent Systems, SaaS, Software",Financial Services,13000000000,376,,,156,68%,2704,105%,servival
Takween Advanced Industries Co.,300000000,,Riyadh ,Takween Industries specializes in the latest polymer technology for the production of high quality product packs & non-woven textiles.,2008,,IPO,Series B,,,"Packaging Services, Textiles",Financial Services,13000000000,376,,,,,,,exited
Equiptal,,,Riyadh ,Equiptal is a heavy tools rental marketplace that allows you to rent equipment from verified suppliers at predefined or amended rates.,1992,1,,Sereis C,,,"Apps, Construction, E-Commerce",Food&Beverage ,42000000000,376,,,,,,,servival
ICD-PS,,,Riyadh ,ICD is one of the premier Islamic multilateral financial institution for the development of the private sector,2009,1,,Series B,,,"Finance, Financial Services, Venture Capital",Artificial Intelligence,13000000000,176,,,497,34%,8287,366%,exited
Aljazira Capital,,,Riyadh ,Aljazira Capital is a Saudi closed joint stock company.,2017,,,Seed,,,"Asset Management, Finance, Financial Services",Artificial Intelligence,13000000000,6,656,5,574,35%,83292,31%,servival
Steak House,,,Riyadh ,"STEAK HOUSE, a fullâ€“service casual-dining chain, which has 18 conveniently-located restaurants in major cities throughout KSA.",2008,,,Series B,,,Restaurants,HealthTech,5400000000,751,,,165,47%,23462,8%,exited
Tabadul,,,Riyadh ,"Tabadul provide innovative technical solutions to improve efficiency, increase transparency, and enhance the operational performance.",1988,,M&A,Series C,,,"Information Technology, Predictive Analytics",Energy,49500000000,76,,,583,61%,1187,-6%,exited
Arpeggio,,,Riyadh ,Machine Learning Research & Development,2007,,,Series B,,,"Artificial Intelligence, Machine Learning",Media&Entertainment,49500000000,76,,,,,,,servival
Axa Cooperative Insurance Co.,300000000,,Jeddah,Axa Cooperative Insurance Co. is an insurer that aims to empower people to live a better life by designing reliable insurance solutions.,2014,,M&A,Series B,,,"Health Care, Insurance, Marine Technology",Consumer Services,42000000000,6,,,477,51%,27966,-1%,exited
Nesma Telecom & Technology,,,Riyadh ,"Nesma Telecom & Technology specializes in the field of communications technology, power systems, and energy Infrastructures.",2014,,,Series B,,,"Energy, Mobile, Telecommunications",E-Commerce,13000000000,31,,,62,0%,754,44%,servival
Ajel News,,,Riyadh ,"Ajel News is an Electronic Newspaper in Arabic language that interested in publishing news, economy, information, tourism, and more.",2013,,,Series B,,,"News, Publishing",E-Commerce,13000000000,31,,,326,78%,3774856,-45%,servival
